1964,400m Women,Betty Cuthbert,GOLD,AUS,52
1964,400m Women,Ann Packer,SILVER,GBR,52.2
1964,400m Women,Judith Amoore,BRONZE,AUS,53.4
1968,400m Women,Colette Besson,GOLD,FRA,52
1968,400m Women,Lillian Board,SILVER,GBR,52.1
1968,400m Women,Natalya Pechenkina,BRONZE,URS,52.2
1972,400m Women,Monika Zehrt,GOLD,GDR,51.08
1972,400m Women,Rita Wilden,SILVER,FRG,51.21
1972,400m Women,Kathy Hammond,BRONZE,USA,51.64
1976,400m Women,Irena Szewinska,GOLD,POL,49.29
1976,400m Women,Christina Lathan-Brehmer,SILVER,GDR,50.51
1976,400m Women,Ellen Streidt,BRONZE,GDR,50.55
1980,400m Women,Marita Koch,GOLD,GDR,48.88
1980,400m Women,Jarmila Kratochvílová,SILVER,CZE,49.46
1980,400m Women,Christina Lathan-Brehmer,BRONZE,GDR,49.66
1984,400m Women,Valerie Brisco-Hooks,GOLD,USA,48.83
1984,400m Women,Chandra Cheeseborough,SILVER,USA,49.05
1984,400m Women,Kathryn Smallwood-Cook,BRONZE,GBR,49.42
1988,400m Women,Olga Bryzgina,GOLD,URS,48.65
1988,400m Women,Petra Müller,SILVER,GDR,49.45
1988,400m Women,Olga Nazarova,BRONZE,URS,49.9
1992,400m Women,Marie-José Pérec,GOLD,FRA,48.83
1992,400m Women,Olga Bryzgina,SILVER,URS,49.05
1992,400m Women,Ximena Restrepo,BRONZE,COL,49.64
1996,400m Women,Marie-José Pérec,GOLD,FRA,48.25
1996,400m Women,Cathy Freeman,SILVER,AUS,48.63
1996,400m Women,Falilat Ogunkoya,BRONZE,NGR,49.1
2000,400m Women,Cathy Freeman,GOLD,AUS,49.11
2000,400m Women,Lorraine Graham,SILVER,JAM,49.58
2000,400m Women,Katharine Merry,BRONZE,GBR,49.72
2004,400m Women,Tonique Williams-Darling,GOLD,BAH,49.41
2004,400m Women,Ana Guevara,SILVER,MEX,49.56
2004,400m Women,Natalia Antyukh,BRONZE,RUS,49.89
2008,400m Women,Christine Ohuruogu,GOLD,GBR,49.62
2008,400m Women,Shericka Williams,SILVER,JAM,49.69
2008,400m Women,Sanya Richards,BRONZE,USA,49.93
