1912,5000m Men ,Hannes Kolehmainen ,GOLD ,FIN ,14:36.6
1912,5000m Men ,Jean Bouin ,SILVER ,FRA ,14:36.7
1912,5000m Men ,George Hutson ,BRONZE ,GBR ,15:07.6
1920,5000m Men ,Joseph Guillemot ,GOLD ,FRA ,14:55.6
1920,5000m Men ,Paavo Nurmi ,SILVER ,FIN ,15:00.0
1920,5000m Men ,Erik Backman ,BRONZE ,SWE ,15:13.0
1924,5000m Men ,Paavo Nurmi ,GOLD ,FIN ,14:31.2
1924,5000m Men ,Ville Ritola ,SILVER ,FIN ,14:31.4
1924,5000m Men ,Edvin Wide ,BRONZE ,SWE ,15:01.8
1928,5000m Men ,Ville Ritola ,GOLD ,FIN ,14:38.0
1928,5000m Men ,Paavo Nurmi ,SILVER ,FIN ,14:40.0
1928,5000m Men ,Edvin Wide ,BRONZE ,SWE ,14:41.2
1932,5000m Men ,Lauri Lehtinen ,GOLD ,FIN ,14:30.0
1932,5000m Men ,Ralph Hill ,SILVER ,USA ,14:30.0
1932,5000m Men ,Lauri Virtanen ,BRONZE ,FIN ,14:44.0
1936,5000m Men ,Gunnar Höckert ,GOLD ,FIN ,14:22.2
1936,5000m Men ,Lauri Lehtinen ,SILVER ,FIN ,14:25.8
1936,5000m Men ,Henry Jonsson ,BRONZE ,SWE ,14:29.0
1948,5000m Men ,Gaston Reiff ,GOLD ,BEL ,14:17.6
1948,5000m Men ,Emil Zátopek ,SILVER ,CZE ,14:17.8
1948,5000m Men ,Wim Slijkhuis ,BRONZE ,NED ,14:26.8
1952,5000m Men ,Emil Zátopek ,GOLD ,CZE ,14:06.6
1952,5000m Men ,Alain Mimoun ,SILVER ,FRA ,14:07.4
1952,5000m Men ,Herbert Schade ,BRONZE ,GER ,14:08.6
1956,5000m Men ,Vladimir Kuts ,GOLD ,URS ,13:39.6
1956,5000m Men ,Gordon Pirie ,SILVER ,GBR ,13:50.6
1956,5000m Men ,Derek Ibbotson ,BRONZE ,GBR ,13:54.4
1960,5000m Men ,Murray Halberg ,GOLD ,NZL ,13:43.4
1960,5000m Men ,Hans Grodotzki ,SILVER ,GER ,13:44.6
1960,5000m Men ,Kazimierz Zimny ,BRONZE ,POL ,13:44.8
1964,5000m Men ,Bob Schul ,GOLD ,USA ,13:48.8
1964,5000m Men ,Harald Norpoth ,SILVER ,GER ,13:49.6
1964,5000m Men ,Bill Dellinger ,BRONZE ,USA ,13:49.8
1968,5000m Men ,Mohamed Gammoudi ,GOLD ,TUN ,14:05.0
1968,5000m Men ,Kipchoge Keino ,SILVER ,KEN ,14:05.2
1968,5000m Men ,Naftali Temu ,BRONZE ,KEN ,14:06.4
1972,5000m Men ,Lasse Virén ,GOLD ,FIN ,13:26.4
1972,5000m Men ,Mohamed Gammoudi ,SILVER ,TUN ,13:27.4
1972,5000m Men ,Ian Stewart ,BRONZE ,GBR ,13:27.6
1976,5000m Men ,Lasse Virén ,GOLD ,FIN ,13:24.76
1976,5000m Men ,Dick Quax ,SILVER ,NZL ,13:25.16
1976,5000m Men ,Klaus-Peter Hildenbrand ,BRONZE ,FRG ,13:25.38
1980,5000m Men ,Miruts Yifter ,GOLD ,ETH ,13:20.91
1980,5000m Men ,Suleiman Nyambui ,SILVER ,TAN ,13:21.60
1980,5000m Men ,Kaarlo Maaninka ,BRONZE ,FIN ,13:22.00
1984,5000m Men ,Saïd Aouita ,GOLD ,MAR ,13:05.59
1984,5000m Men ,Markus Ryffel ,SILVER ,SUI ,13:07.54
1984,5000m Men ,Antonio Leitão ,BRONZE ,POR ,13:09.20
1988,5000m Men ,John Ngugi ,GOLD ,KEN ,13:11.70
1988,5000m Men ,Dieter Baumann ,SILVER ,FRG ,13:15.52
1988,5000m Men ,Hansjörg Kunze ,BRONZE ,GDR ,13:15.73
1992,5000m Men ,Dieter Baumann ,GOLD ,GER ,13:12.52
1992,5000m Men ,Paul Bitok ,SILVER ,KEN ,13:12.71
1992,5000m Men ,Fita Bayissa ,BRONZE ,ETH ,13:13.03
1996,5000m Men ,Venuste Niyongabo ,GOLD ,BDI ,13:07.96
1996,5000m Men ,Paul Bitok ,SILVER ,KEN ,13:08.16
1996,5000m Men ,Khalid Boulami ,BRONZE ,MAR ,13:08.37
2000,5000m Men ,Millon Wolde ,GOLD ,ETH ,13:35.49
2000,5000m Men ,Ali Saidi-Sief ,SILVER ,ALG ,13:36.20
2000,5000m Men ,Brahim Lahlafi ,BRONZE ,MAR ,13:36.47
2004,5000m Men ,Hicham el Guerrouj ,GOLD ,MAR ,13:14.39
2004,5000m Men ,Kenenisa Bekele ,SILVER ,ETH ,13:14.59
2004,5000m Men ,Eliud Kipchoge ,BRONZE ,KEN ,13:15.10
2008,5000m Men ,Kenenisa Bekele ,GOLD ,ETH ,12:57.82
2008,5000m Men ,Eliud Kipchoge ,SILVER ,KEN ,13:02.80
2008,5000m Men ,Edwin Soi ,BRONZE ,KEN ,13:06.22
